date,Nowcast_A,Actual_A,Difference_A,Overall_RMSE_A,Month_RMSE_A,Quarter_RMSE_A,Year_RMSE_A,Period_RMSE_A,Nowcast_Q,Actual_Q,Difference_Q,Overall_RMSE_Q,Month_RMSE_Q,Quarter_RMSE_Q,Period_RMSE_Q,ForecastQ1,ForecastQ2,ForecastQ3,ForecastQ4
2017-01-01,,6.930988359106127,,5.372954124200143,,4.712837792932694,0.5082351366371097,0.31733861032107896,,6.374132670872501,,11.014396289975046,7.6225539432296605,0.05378457201098197,0.560057974058589,,,,
2017-02-01,,6.930988359106127,,5.372954124200143,,5.897776496741983,0.5082351366371097,0.31733861032107896,,6.374132670872501,,11.014396289975046,8.12341826043039,0.05378457201098197,0.560057974058589,,,,
2017-03-01,6.320348098861528,6.930988359106127,-0.6106402602445993,5.372954124200143,7.130842467991295,5.421687002399692,0.5082351366371097,0.31733861032107896,6.320348098861519,6.374132670872501,-0.05378457201098197,11.014396289975046,14.327706824277788,0.05378457201098197,0.560057974058589,6.320348098861519,6.320348098861519,6.320348098861519,6.320348098861519
2017-04-01,6.320348098861528,6.930988359106127,-0.6106402602445993,5.372954124200143,6.63814243138198,4.712837792932694,0.5082351366371097,0.31733861032107896,6.320348098861519,7.177099324384795,-0.8567512255232757,11.014396289975046,7.6225539432296605,0.8561114118793328,0.560057974058589,6.320348098861519,6.320348098861519,6.320348098861519,6.320348098861519
2017-05-01,6.320348098861528,6.930988359106127,-0.6106402602445993,5.372954124200143,6.641186187023336,5.897776496741983,0.5082351366371097,0.31733861032107896,6.320348098861519,7.177099324384795,-0.8567512255232757,11.014396289975046,8.12341826043039,0.8561114118793328,0.560057974058589,6.320348098861519,6.320348098861519,6.320348098861519,6.320348098861519
2017-06-01,6.33428891437946,6.930988359106127,-0.5966994447266671,5.372954124200143,6.278422503762641,5.421687002399692,0.5082351366371097,0.31733861032107896,6.322268976433341,7.177099324384795,-0.8548303479514541,11.014396289975046,14.327706824277788,0.8561114118793328,0.560057974058589,6.322268976433341,6.322268976433341,6.322268976433341,6.322268976433341
2017-07-01,6.33428891437946,6.930988359106127,-0.5966994447266671,5.372954124200143,3.706023935782919,4.712837792932694,0.5082351366371097,0.31733861032107896,6.322268976433341,7.5315964750689135,-1.2093274986355729,11.014396289975046,7.6225539432296605,1.1995823457683792,0.560057974058589,6.322268976433341,6.322268976433341,6.322268976433341,6.322268976433341
2017-08-01,6.33428891437946,6.930988359106127,-0.5966994447266671,5.372954124200143,6.976423077062486,5.897776496741983,0.5082351366371097,0.31733861032107896,6.322268976433341,7.5315964750689135,-1.2093274986355729,11.014396289975046,8.12341826043039,1.1995823457683792,0.560057974058589,6.322268976433341,6.322268976433341,6.322268976433341,6.322268976433341
2017-09-01,6.569670706674913,6.930988359106127,-0.3613176524312145,5.372954124200143,2.351304630438672,5.421687002399692,0.5082351366371097,0.31733861032107896,6.35174588498339,7.5315964750689135,-1.1798505900855236,11.014396289975046,14.327706824277788,1.1995823457683792,0.560057974058589,6.35174588498339,6.35174588498339,6.35174588498339,6.35174588498339
2017-10-01,6.569670706674913,6.930988359106127,-0.3613176524312145,5.372954124200143,2.7240167756319953,4.712837792932694,0.5082351366371097,0.31733861032107896,6.35174588498339,6.641205761074875,-0.2894598760914855,11.014396289975046,7.6225539432296605,0.27697161020366706,0.560057974058589,6.35174588498339,6.35174588498339,6.35174588498339,6.35174588498339
